Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
kent,standard,realTraffic/speed_6005.csv,0.512250003693,0.402622001756,4,1882,4,235,2125
kent,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.512250003693,1.72310160415,6,3026,0,396,3428
kent,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.512250003693,-2.11,0,930,1,126,1057
kent,standard,realAdExchange/exchange-3_cpm_results.csv,0.512250003693,0.752159553344,2,1154,1,151,1308
kent,standard,realKnownCause/rogue_agent_key_hold.csv,0.512250003693,-1.11370102385,1,1408,2,189,1600
kent,standard,realKnownCause/nyc_taxi.csv,0.512250003693,2.32807388255,9,8533,2,1026,9570
kent,standard,realAdExchange/exchange-2_cpm_results.csv,0.512250003693,1.50824330604,3,1217,2,159,1381
kent,standard,realTweets/Twitter_volume_GOOG.csv,0.512250003693,-0.260196174698,9,13650,10,1423,15092
kent,standard,realTraffic/occupancy_6005.csv,0.512250003693,0.861272490375,2,1784,0,237,2023
kent,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.512250003693,1.27956648491,3,3022,4,399,3428
kent,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.512250003693,0.60592284427,1,3022,3,402,3428
kent,standard,realTweets/Twitter_volume_CRM.csv,0.512250003693,0.723575559502,5,13559,0,1588,15152
kent,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.512250003693,0.59454409372,3,3545,3,470,4021
kent,standard,realTraffic/speed_t4013.csv,0.512250003693,1.98462491465,7,1871,0,243,2121
kent,standard,realTweets/Twitter_volume_CVS.csv,0.512250003693,2.30950047794,9,13573,4,1517,15103
kent,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.512250003693,0.638908670438,4,3023,2,399,3428
kent,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.512250003693,0.846537840284,8,3084,1,335,3428
kent,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.512250003693,0.556842909788,6,3021,2,399,3428
kent,standard,realKnownCause/rogue_agent_key_updown.csv,0.512250003693,-1.29575982814,1,4028,7,529,4565
kent,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.512250003693,-0.33,0,3425,3,0,3428
Totals,,,,45.7087579719,256,299170,177,33239,332842
