Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
kent,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.523386545401,-1.23706566172,7,13496,5,1573,15081
kent,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.523386545401,0.512263690746,3,1231,1,162,1397
kent,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.523386545401,0.739634634561,2,3023,0,403,3428
kent,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.523386545401,-1.55670293184,0,3022,3,403,3428
kent,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.523386545401,-1.89320103313,19,15788,13,1480,17300
kent,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.523386545401,1.34952341776,8,3456,7,457,3928
kent,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.523386545401,0.0,0,3428,0,0,3428
kent,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.523386545401,-2.36958961576,5,13533,20,1585,15143
kent,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.523386545401,1.37586905384,7,3079,3,339,3428
kent,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.523386545401,2.47177643559,8,13515,5,1580,15108
kent,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.523386545401,-0.138449197924,2,3026,0,400,3428
kent,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.523386545401,0.875727409493,3,3025,0,400,3428
